PRODUCT NAME,TYPE,SUB-TYPES,LIFESTYLE,DEALS,ORIGINS CERTIFIED,CBD,FARM,Cannabinoid ratio,PRICE(1),WEIGHT (AMOUNT)(1),WEIGHT (TYPE)(1),PRICE(2),WEIGHT (AMOUNT)(2),WEIGHT (TYPE)(2),PRICE(3),WEIGHT (AMOUNT)(3),WEIGHT (TYPE)(3),PRICE(4),WEIGHT (AMOUNT)(4),WEIGHT (TYPE)(4),PRICE(5),WEIGHT (AMOUNT)(5),WEIGHT (TYPE)(5),PRICE(6),WEIGHT (AMOUNT)(6),WEIGHT (TYPE)(6),PRODUCT DESCRIPTION
Origin Diesel ,Flower,,ADVENTUROUS,,,,House of Cultivar,19:01,58,3.5,G,,,,,,,,,,,,,,,,A happy indica-dominant hybrid. Perfect to de-stress and relax!
Bay 11,Flower,,ADVENTUROUS,,,,Canna Organix,18:01,15,1,G,48,3.5,G,85,7,G,165,14,G,,,,,,,Beautiful and popular sativa that delivers a dense pale green color and amber resin with a sweet fruity flavor. Lineage: Unknown
Gorilla Glue ,Flower,,ADVENTUROUS,,,,Origins ,12:01,30,3.5,G,,,,,,,,,,,,,,,,A classic sativa pheno strain now available under the Origins name at a great quality and buy!
Jesus,Flower,,AFTER HOURS,,,,Kiona,19:01,10,1,G,38,3.5,G,125,14,G,,,,,,,,,,Seattle native with a rich pungent smell and sweet lemons and herb. Lineage: White Widow and Blue Dynamite
Gorilla Glue #4,Flower,Pre-Rolls,PARTY GO'ER,,,,Gold Leaf ,,15,1,G,,,,,,,,,,,,,,,,
Mardi Gras,Flower,Pre-Rolls,PARTY GO'ER,,,,Mr Twiser ,,15,1,G,,,,,,,,,,,,,,,,
Northern Lights #5 Oil Dipped ,Flower,Pre-Rolls,PARTY GO'ER,,,,Inferno Farms,,10,0.5,G,,,,,,,,,,,,,,,,
Purple Trainwreck Oil Infused,Flower,Pre-Rolls,PARTY GO'ER,,,,Mr Twiser ,,15,1,G,,,,,,,,,,,,,,,,
Rasta Roll Oil Infused Flower ,Flower,Pre-Rolls,PARTY GO'ER,,,,Rasta Roll,,20,1,G,,,,,,,,,,,,,,,,
Rude Boi OG,Flower,Pre-Rolls,PARTY GO'ER,,,,Gold Leaf ,,15,1,G,,,,,,,,,,,,,,,,
9lb Hammer,Flower,Pre-Rolls,AFTER HOURS,,,,Saints,,10,0.7,G,,,,,,,,,,,,,,,,
Strawberry Banana,Flower,Pre-Rolls,AFTER HOURS,,,,Saints,,10,0.7,G,,,,,,,,,,,,,,,,
White Widow Oil Dipped ,Flower,Pre-Rolls,AFTER HOURS,,,,Inferno Farms,,10,0.5,G,,,,,,,,,,,,,,,,
Double Dream,Flower,Pre-Rolls,SOCIAL,,,,Seattle Green Bud,,10,0.7,G,,,,,,,,,,,,,,,,
Kosher Kush,Flower,Pre-Rolls,PARTY GO'ER,,,,Seattle Green Bud,,10,0.7,G,,,,,,,,,,,,,,,,
Citrus Haze,Flower,Pre-Rolls,SOCIAL,,,,BellaDonna,,10,1.3,G,,,,,,,,,,,,,,,,
Chernobyl Lime,Flower,Pre-Rolls,SOCIAL,,,,Gold Leaf,,15,1,G,,,,,,,,,,,,,,,,
"Medi Haze 
",Flower,Pre-Rolls,HOLISTIC,,,,Dream City,,10,1,G,,,,,,,,,,,,,,,,
Peppermint cookies,Flower,Pre-Rolls,AFTER HOURS,,,,Gold Leaf ,,15,1,G,,,,,,,,,,,,,,,,
Purple Punch,Flower,Pre-Rolls,AFTER HOURS,,,,BellaDonna,,10,1.3,G,,,,,,,,,,,,,,,,
Lemon Cheesecake,Flower,Pre-Rolls,SOCIAL,,,,BellaDonna,,10,1.3,G,,,,,,,,,,,,,,,,
Cocoa Kush,Flower,Pre-Rolls,SOCIAL,,,,BellaDonna,,10,1.3,G,,,,,,,,,,,,,,,,
Alien OG,Flower,Pre-Rolls,AFTER HOURS,,,,Seattle Green Bud,,10,0.7,G,,,,,,,,,,,,,,,,
Jeremy Fish 5 Pack,Flower,Pre-Rolls,SOCIAL,,,,Seattle Green Bud,,40,3.5,G,,,,,,,,,,,,,,,,
Blueberry Headband 5 Pack,Flower,Pre-Rolls,SOCIAL,,,,Seattle Green Bud,,40,3.5,G,,,,,,,,,,,,,,,,
Strawberry Banana,Flower,Pre-Rolls,AFTER HOURS,,,,Seattle Green Bud,32:01:00,17,1,G,,,,,,,,,,,,,,,,
Alien OG 5 Pack,Flower,Pre-Rolls,AFTER HOURS,,,,Seattle Green Bud,,40,3.5,G,,,,,,,,,,,,,,,,
Chem 91 5 Pack,Flower,Pre-Rolls,SELF DISCOVERY,,,,Seattle Green Bud,,40,3.5,G,,,,,,,,,,,,,,,,
Strawberry Cough 5 Pack,Flower,Pre-Rolls,SELF DISCOVERY,,,,Seattle Green Bud,,40,3.5,G,,,,,,,,,,,,,,,,
Blue Dream,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Pineapple Express,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Trainwreck,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
XJ-13 Cartridge,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Carnival Kush,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Death Star,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Dose,,29,0.5,G,,,,,,,,,,,,,,,,
Royal,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
The White ,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Zensation,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
AK-47,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Chemdawg ,Concentrates,Vape-Cartridges,SOCIAL,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Cherry bomb ,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Pineapple Express,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
White Russian,Concentrates,Vape-Cartridges,SOCIAL,,,,Dose,,29,0.5,G,,,,,,,,,,,,,,,,
AC/DC Full Pen,Concentrates,Vape-Cartridges,HOLISTIC,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
Sour Tsunami,Concentrates,Vape-Cartridges,HOLISTIC,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
AC/DC Full Pen,Concentrates,Vape-Cartridges,HOLISTIC,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
AK-47 Tanker,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Harmony Farms,,38,1,G,,,,,,,,,,,,,,,,
Alpha Jack Cartridge,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Amnesia Haze Cartridge,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Black 84 Cartridge,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Avitas,,35,0.5,G,,,,,,,,,,,,,,,,
Blue Dream Cartridge,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Blueberry Cartridge,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Pearl,,45,0.5,G,,,,,,,,,,,,,,,,
Bubba Fire Tanker,Concentrates,Vape-Cartridges,SOCIAL,,,,Harmony Farms,,70,1,G,,,,,,,,,,,,,,,,
Carnival Kush Cartridge,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
CBD Yummy,Concentrates,Vape-Cartridges,HOLISTIC,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,
Chocolate Chunk Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Cinex Cartridge,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Avitas,,35,0.5,G,,,,,,,,,,,,,,,,
Critical Mass Cartridge,Concentrates,Vape-Cartridges,HOLISTIC,,,,Oleum,,48,0.5,G,,,,,,,,,,,,,,,,
Death Star Cartridge,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Dose,,29,0.5,G,,,,,,,,,,,,,,,,
Durban Poison Cartridge,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Girl Scout Cookies Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Oleum,,48,0.5,G,,,,,,,,,,,,,,,,
Gorilla Glue Tanker,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,70,1,G,,,,,,,,,,,,,,,,
Grape Ape Tanker,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Dose,,40,1,G,,,,,,,,,,,,,,,,
Guadalupe Tanker,Concentrates,Vape-Cartridges,SELF DISCOVERY,,,,Harmony Farms,,70,1,G,,,,,,,,,,,,,,,,
Harlequin,Concentrates,Vape-Cartridges,HOLISTIC,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,75/25 Sativa-dominant strain renowned for it's eliable expression of CBD. Earthy musk and sweet mango draws you in and relieves without being too intoxicated.  Lineage: Colombian Gold/Thai/Swiss Landrace
Harlequin Cartridge,Concentrates,Vape-Cartridges,HOLISTIC,,,,Avitas,,35,0.5,G,,,,,,,,,,,,,,,,
Jack's Dragon Girl,Concentrates,Vape-Cartridges,SOCIAL,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,
Kosher Kush .5g Cartridge,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Lemon OG Tanker,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Dose,,40,1,G,,,,,,,,,,,,,,,,
Mint Chocolate Chip Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Avitas,,35,0.5,G,,,,,,,,,,,,,,,,
Pennywise Cartridge,Concentrates,Vape-Cartridges,HOLISTIC,,,,Pearl,,45,0.5,G,,,,,,,,,,,,,,,,
Pineapple Express Full Pen,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
Royal Indica Full Pen,Concentrates,Vape-Cartridges,PARTY GO'ER,,,,Nectar,,115,1,G,,,,,,,,,,,,,,,,
Rudeboi Tanker,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Dose,,40,1,G,,,,,,,,,,,,,,,,
Santa Marta Purple Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Sour Tsunami Cartridge,Concentrates,Vape-Cartridges,HOLISTIC,,,,Nectar,,50,0.5,G,115,1,G,,,,,,,,,,,,,
Sunset Sherbet Tanker,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Harmony Farms,,70,1,G,,,,,,,,,,,,,,,,
Tangie Tanker,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Harmony Farms,,70,1,G,,,,,,,,,,,,,,,,
Thin Mint Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Oleum,,48,0.5,G,,,,,,,,,,,,,,,,
Trainwreck Cartridge,Concentrates,Vape-Cartridges,ADVENTUROUS,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
Trenchtown Cartridge,Concentrates,Vape-Cartridges,AFTER HOURS,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
White Russian Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Nectar,,50,0.5,G,,,,,,,,,,,,,,,,
White Russian Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Dose,,29,0.5,G,,,,,,,,,,,,,,,,
XJ-13 Cartridge,Concentrates,Vape-Cartridges,SOCIAL,,,,Harmony Farms,,38,0.5,G,,,,,,,,,,,,,,,,
Jack's Dragon Girl,Concentrates,Vape-Cartridges,SOCIAL,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,
Harlequin,Concentrates,Vape-Cartridges,HOLISTIC,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,
CBD Yummy,Concentrates,Vape-Cartridges,HOLISTIC,,,,Mother Earth Botanicals,,40,0.5,G,,,,,,,,,,,,,,,,
