PRODUCT NAME,TYPE,SUB-TYPES,LIFESTYLE,DEALS,ORIGINS CERTIFIED,CBD,FARM,Cannabinoid ratio,PRICE(1),WEIGHT (AMOUNT)(1),WEIGHT (TYPE)(1),PRICE(2),WEIGHT (AMOUNT)(2),WEIGHT (TYPE)(2),PRICE(3),WEIGHT (AMOUNT)(3),WEIGHT (TYPE)(3),PRICE(4),WEIGHT (AMOUNT)(4),WEIGHT (TYPE)(4),PRICE(5),WEIGHT (AMOUNT)(5),WEIGHT (TYPE)(5),PRICE(6),WEIGHT (AMOUNT)(6),WEIGHT (TYPE)(6),PRODUCT DESCRIPTION
Caramel Bon Bon ,Edibles,,AFTER HOURS,,,,Seagoat ,,8,10,MG,,,,,,,,,,,,,,,,"Made with organic sugar, butter, cream, sea salt and Dark Venezuelan chocolate"
Diamond Dawg,Flower,,SOCIAL,,,,House of Cultivar,20:01,17,1,G,55,3.5,G,210,14,G,,,,,,,,,,Potent pleasure in this hybrid. Great for during the day or evenings when you don’t want a drowsy strain. Lineage: Chem Dawg/Diamond OG
Fire Bubba,Flower,,SOCIAL,,,,Gold Leaf,12:01,60,3.5,G,215,14,G,,,,,,,,,,,,,Sweet earthy hashish flavors and a diesel aroma. Loosen up with this great strain.Lineage: Unknown
Mango Kush,Flower,,SOCIAL,,,,House of Cultivar ,15:01,58,3.5,G,,,,,,,,,,,,,,,,This strain tastes similar to an actual mango. Lineage: Unknown.
Purple Trainwreck ,Flower,,SOCIAL,,,,Origins ,14:01,75,3.5,G,,,,,,,,,,,,,,,,Classic spicy lemon scent of Trainwreck with berry undertones creating a grape like energetic strain. Lineage: Grandaddy Purp/Trainwreck
Shermanator,Flower,,SOCIAL,,,,House of Cultivar,14:01,50,3.5,G,300,28,G,,,,,,,,,,,,,Well balanced hybrid that displays a bright vibrant aroma reminiscent of spring. Great strain to enjoy any day!
Chernobyl *Archie's Cut,Flower,,SOCIAL,,,,The High Point,18:01,25,2,G,42,3.5,G,80,7,G,,,,,,,,,,"This strain is unique as it is proprietary cross to a very accredited grower named Archie Lee.  Lineage: Trainwreck, Ripper, Trinity"
Cherry Wonka,Flower,,SOCIAL,DEALS,,,Green Barn Farms,15:01,8,1,G,38,3.5,G,,,,,,,,,,,,,Part of the Wonka family with a sweet and cherry flavor. Lineage: Proprietary
Coffee Haze,Flower,,SOCIAL,,,,Kiona,7:01,35,3.5,G,35,3.5,G,,,,,,,,,,,,,Uplifting to help create the perfect social experience. This strain has an exquisite taste of honeysuckle and an intense and tropical sweetness.
Dutch Hawaiian,Flower,,SOCIAL,,,,Lucky Devil Farms,8:01,10,1,G,35,3.5,G,125,14,G,225,28,G,,,,,,,Dutch Hawaiian has an unusual light green almost lime color with a flavorful citrus experience
Dutch Treat,Flower,,SOCIAL,,,,Vashon Island Organics,11:01,55,3.5,G,355,28,G,,,,,,,,,,,,,"The most famous Amsterdam ""coffee shop"" varietal is nothing short of a strong cup. A serving of the sweet fruit and pine flavors will leave you uplifted and ready for the day."
Elphinstone,Flower,,SOCIAL,DEALS,,,Kiona,6:01,10,1,G,38,3.5,G,99,14,G,225,28,G,,,,,,,
